The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 94
The time before main lane pedestrian can cross is: 94
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 94
The time before main lane pedestrian can cross is: 94
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 125
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
The time before main lane pedestrian can cross is: 89
